Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
6/10/2020,2/1/2020,6/6/2020,AL,Elmore County,1051,15,259
6/10/2020,2/1/2020,6/6/2020,AL,Etowah County,1055,12,531
6/10/2020,2/1/2020,6/6/2020,AL,Houston County,1069,36,643
6/10/2020,2/1/2020,6/6/2020,AL,Jefferson County,1073,139,3284
6/10/2020,2/1/2020,6/6/2020,AL,Lee County,1081,58,447
6/10/2020,2/1/2020,6/6/2020,AL,Madison County,1089,10,1392
6/10/2020,2/1/2020,6/6/2020,AL,Mobile County,1097,130,1790
6/10/2020,2/1/2020,6/6/2020,AL,Montgomery County,1101,55,1002
6/10/2020,2/1/2020,6/6/2020,AL,Shelby County,1117,17,451
6/10/2020,2/1/2020,6/6/2020,AL,Tallapoosa County,1123,53,218
6/10/2020,2/1/2020,6/6/2020,AL,Tuscaloosa County,1125,28,745
6/10/2020,2/1/2020,6/6/2020,AZ,Apache County,4001,16,154
6/10/2020,2/1/2020,6/6/2020,AZ,Coconino County,4005,90,451
6/10/2020,2/1/2020,6/6/2020,AZ,Maricopa County,4013,432,13624
6/10/2020,2/1/2020,6/6/2020,AZ,Mohave County,4015,28,1146
6/10/2020,2/1/2020,6/6/2020,AZ,Navajo County,4017,16,347
6/10/2020,2/1/2020,6/6/2020,AZ,Pima County,4019,189,4158
6/10/2020,2/1/2020,6/6/2020,AZ,Pinal County,4021,18,921
6/10/2020,2/1/2020,6/6/2020,AZ,Yuma County,4027,17,656
6/10/2020,2/1/2020,6/6/2020,AR,Jefferson County,5069,25,354
6/10/2020,2/1/2020,6/6/2020,AR,Pulaski County,5119,44,2176
6/10/2020,2/1/2020,6/6/2020,CA,Alameda County,6001,100,3865
6/10/2020,2/1/2020,6/6/2020,CA,Contra Costa County,6013,35,2891
6/10/2020,2/1/2020,6/6/2020,CA,Fresno County,6019,37,2659
6/10/2020,2/1/2020,6/6/2020,CA,Imperial County,6025,26,355
6/10/2020,2/1/2020,6/6/2020,CA,Kern County,6029,28,2178
